AFGP_mM,Recovery (%),Forward Scatter (PLT size),Side Scatter (PLT granularity),pH (20-24C),PLTs (x 109/L),Glucose (mmol/L),Lactate (mmol/L),CD62P (% positive),PAC-1(%),GPVI(%),CD41a(%),Microparticles(x108/L),R_time,MA(mm),PCT (secs)
Trima_aph,99.9,6000,3250,7,820,19.89,5.71,3,6,99,99,20,12,70,93
Trima_aph,99.8,6234,3990,7.1,819.6,21.3,6.28,4,10,97,99,21,11,71,102
Trima_aph,99.9,7000,3980,7.2,873.9,21.6,6.23,3,6,98,98,23,12,72,94
Trima_aph,99.7,6989,3767,7.1,872.7,20.6,6.22,5,9,99,99,22,12,70,95
Trima_aph,99.7,6500,3878,7.2,870.3,19.8,5.54,4,7,98,99,23,11,72,103
Trima_aph,99.6,6560,3876,7.1,780.9,18.9,5.89,3,8,97,98,21,10,71,101
Trima_aph,99.9,6689,3789,7,823,19.99,5.97,4,9,96,99,22,11,72,102
Trima_aph,99.8,6999,3908,7.1,834,19.8,5.51,7,5,99,99,23,12,73,103
DMSO,69.66,3901,2800,7.3,704.38,19.05,5.61,23,12,36,90,600,6,62,21
DMSO,70.9,3904,2700,7.6,779.02,21.88,6.68,29,15,40,89,650,6,63,22
DMSO,64.6,3980,2750,7,629.74,21.65,6.73,27,14,39,90,666,6.5,63,21
DMSO,65.6,4020,2720,7.6,770.82,20.56,6.12,29,14,36,90,650,6.2,62,20
DMSO,78.9,4150,2678,7.5,680.93,19.87,4.54,24,15,35,89,656,6.3,61,21
DMSO,65.4,4056,2833,7.3,690.9,16.22,4.89,20,16,37,88,657,6.2,63,22
DMSO,69.87,4067,2500,7.2,776.09,16.76,4.97,21,14,38,87,608,6.3,62,23
DMSO,67.89,3999,2700,7.1,650.87,15.43,5.51,22,13,34,88,609,6.3,63,22
AFGP_100mM,61.45,4000,2600,7.3,620.35,17.27,5.7,17,9,4,90,660,6.5,58,28
AFGP_100mM,59.8,4100,2700,7.6,677.46,19.37,6.81,18,8,45,91,720,6.5,58,28
AFGP_100mM,60.9,4050,2900,7.6,563.04,19.03,6.09,15,7,46,90,730,6.6,55,27
AFGP_100mM,45.7,3990,3200,7.4,565.41,18.79,6.91,17,7,47,90,800,6.7,56,28
AFGP_100mM,60.95,3979,2800,7.3,675.89,18.23,4.6,18,6,43,91,676,6.6,57,28
AFGP_100mM,56.7,4010,2900,7.4,650.54,15.17,4.53,15,7,45,91,789,6.7,58,27
AFGP_100mM,61.3,4145,2900,7.4,564.23,15.91,4.7,16,8,46,91,788,6.8,59,28
AFGP_100mM,62.3,4235,2989,7.5,598.76,14.97,4.9,16,7,46,91,800,6.6,56,26
AFGP_100mM,62.39,4343,3034,7.5,494.38,18.37,8.42,17,8,45,92,878,6.7,57,27
AFGP_300mM,80.3,4350,3200,7.3,548.61,20.69,9.6,12,3,60,93,720,6.9,55,28
AFGP_300mM,80.3,4440,3500,7.6,440.15,20.87,9.59,13,4,61,92,999,6.9,54,28
AFGP_300mM,79.8,4503,3100,7.4,493.65,20.31,9.34,14,5,62,93,998,6.9,53,29
AFGP_300mM,78.7,4607,3334,7.2,549.07,19.32,7.24,12,6,63,92,730,6.8,52,29
AFGP_300mM,75.8,4323,3544,7.3,450.89,16.11,7.34,13,5,64,93,750,6.8,54,29
AFGP_300mM,81.5,4563,3212,7.4,458.54,16.01,7.12,13,4,63,91,789,6.7,55,27
AFGP_300mM,77.1,4343,3013,7.3,560.78,15.47,7.35,13,5,62,93,898,6.9,56,28
AFGP_300mM,74.08,4645,3323,7.2,459.25,17.03,8.56,12,6,61,92,787,6.8,54,29
AFGP_500mM,86.08,5500,2800,7.2,505.54,19.18,9.9,8,2,77,95,710,6.98,53,30
AFGP_500mM,82.44,5600,2900,7.5,504.56,19.01,9.93,7,1,79,94,850,6.97,53,32
AFGP_500mM,85.67,5900,2898,7.5,502.34,18.73,9.97,8,2,78,95,878,6.93,52,31
AFGP_500mM,86.1,6500,2989,7.4,505.76,18.43,8.45,9,3,80,96,676,6.93,51,31
AFGP_500mM,87.5,6200,2987,7.3,412.96,14.88,7.22,10,2,80,95,767,6.94,51,32
AFGP_500mM,83.1,6200,3001,7.3,415.78,14.46,7.13,7,2,79,95,878,6.8,51,31
AFGP_500mM,84.08,5898,2834,7.5,413.98,14.98,7.23,8,1,79,94,989,6.9,51,32
AFGP_500mM,83.08,5998,2934,7.5,414.98,15.98,7.23,7,2,79,95,765,6.9,53,32
